,lab,local_path,wav_name,wav_path
73,Lab3,data/Lab3/74.wav,74.wav,https://people.bu.edu/timothyg/song_website/WAV/74.wav
74,Lab3,data/Lab3/75.wav,75.wav,https://people.bu.edu/timothyg/song_website/WAV/75.wav
75,Lab3,data/Lab3/76.wav,76.wav,https://people.bu.edu/timothyg/song_website/WAV/76.wav
76,Lab3,data/Lab3/77.wav,77.wav,https://people.bu.edu/timothyg/song_website/WAV/77.wav
77,Lab3,data/Lab3/78.wav,78.wav,https://people.bu.edu/timothyg/song_website/WAV/78.wav
78,Lab3,data/Lab3/79.wav,79.wav,https://people.bu.edu/timothyg/song_website/WAV/79.wav
79,Lab4,data/Lab4/80.wav,80.wav,https://people.bu.edu/timothyg/song_website/WAV/80.wav
80,Lab4,data/Lab4/81.wav,81.wav,https://people.bu.edu/timothyg/song_website/WAV/81.wav
81,Lab4,data/Lab4/82.wav,82.wav,https://people.bu.edu/timothyg/song_website/WAV/82.wav
82,Lab4,data/Lab4/83.wav,83.wav,https://people.bu.edu/timothyg/song_website/WAV/83.wav
83,Lab4,data/Lab4/84.wav,84.wav,https://people.bu.edu/timothyg/song_website/WAV/84.wav
84,Lab4,data/Lab4/85.wav,85.wav,https://people.bu.edu/timothyg/song_website/WAV/85.wav
85,Lab4,data/Lab4/86.wav,86.wav,https://people.bu.edu/timothyg/song_website/WAV/86.wav
86,Lab4,data/Lab4/87.wav,87.wav,https://people.bu.edu/timothyg/song_website/WAV/87.wav
87,Lab4,data/Lab4/88.wav,88.wav,https://people.bu.edu/timothyg/song_website/WAV/88.wav
88,Lab4,data/Lab4/89.wav,89.wav,https://people.bu.edu/timothyg/song_website/WAV/89.wav
89,Lab4,data/Lab4/90.wav,90.wav,https://people.bu.edu/timothyg/song_website/WAV/90.wav
90,Lab4,data/Lab4/91.wav,91.wav,https://people.bu.edu/timothyg/song_website/WAV/91.wav
91,Lab4,data/Lab4/92.wav,92.wav,https://people.bu.edu/timothyg/song_website/WAV/92.wav
92,Lab4,data/Lab4/93.wav,93.wav,https://people.bu.edu/timothyg/song_website/WAV/93.wav
93,Lab4,data/Lab4/94.wav,94.wav,https://people.bu.edu/timothyg/song_website/WAV/94.wav
94,Lab4,data/Lab4/95.wav,95.wav,https://people.bu.edu/timothyg/song_website/WAV/95.wav
95,Lab4,data/Lab4/96.wav,96.wav,https://people.bu.edu/timothyg/song_website/WAV/96.wav
96,Lab4,data/Lab4/97.wav,97.wav,https://people.bu.edu/timothyg/song_website/WAV/97.wav
97,Lab4,data/Lab4/98.wav,98.wav,https://people.bu.edu/timothyg/song_website/WAV/98.wav
98,Lab4,data/Lab4/99.wav,99.wav,https://people.bu.edu/timothyg/song_website/WAV/99.wav
99,Lab4,data/Lab4/100.wav,100.wav,https://people.bu.edu/timothyg/song_website/WAV/100.wav
100,Lab4,data/Lab4/101.wav,101.wav,https://people.bu.edu/timothyg/song_website/WAV/101.wav
101,Lab4,data/Lab4/102.wav,102.wav,https://people.bu.edu/timothyg/song_website/WAV/102.wav
102,Lab4,data/Lab4/103.wav,103.wav,https://people.bu.edu/timothyg/song_website/WAV/103.wav
103,Lab4,data/Lab4/104.wav,104.wav,https://people.bu.edu/timothyg/song_website/WAV/104.wav
104,Lab4,data/Lab4/105.wav,105.wav,https://people.bu.edu/timothyg/song_website/WAV/105.wav
105,Lab4,data/Lab4/106.wav,106.wav,https://people.bu.edu/timothyg/song_website/WAV/106.wav
106,Lab4,data/Lab4/107.wav,107.wav,https://people.bu.edu/timothyg/song_website/WAV/107.wav
107,Lab4,data/Lab4/108.wav,108.wav,https://people.bu.edu/timothyg/song_website/WAV/108.wav
108,Lab4,data/Lab4/109.wav,109.wav,https://people.bu.edu/timothyg/song_website/WAV/109.wav
109,Lab4,data/Lab4/110.wav,110.wav,https://people.bu.edu/timothyg/song_website/WAV/110.wav
110,Lab4,data/Lab4/111.wav,111.wav,https://people.bu.edu/timothyg/song_website/WAV/111.wav
111,Lab4,data/Lab4/112.wav,112.wav,https://people.bu.edu/timothyg/song_website/WAV/112.wav
112,Lab4,data/Lab4/113.wav,113.wav,https://people.bu.edu/timothyg/song_website/WAV/113.wav
113,Lab4,data/Lab4/114.wav,114.wav,https://people.bu.edu/timothyg/song_website/WAV/114.wav
114,Lab4,data/Lab4/115.wav,115.wav,https://people.bu.edu/timothyg/song_website/WAV/115.wav
115,Lab4,data/Lab4/116.wav,116.wav,https://people.bu.edu/timothyg/song_website/WAV/116.wav
116,Lab4,data/Lab4/117.wav,117.wav,https://people.bu.edu/timothyg/song_website/WAV/117.wav
117,Lab4,data/Lab4/118.wav,118.wav,https://people.bu.edu/timothyg/song_website/WAV/118.wav
118,Lab4,data/Lab4/119.wav,119.wav,https://people.bu.edu/timothyg/song_website/WAV/119.wav
119,Lab4,data/Lab4/120.wav,120.wav,https://people.bu.edu/timothyg/song_website/WAV/120.wav
120,Lab4,data/Lab4/121.wav,121.wav,https://people.bu.edu/timothyg/song_website/WAV/121.wav
